carrera,cluster
ADMIND,0
ADMPUB,1
AGPP,0
ARQ,1
ASFIMCD,0
BACHI,1
CCIV,1
CONTA,2
DCOMV,0
DERECHO,1
DIN,0
DIPAFSP,0
DIPAGR,0
DIPAN,0
DIPANH,0
DIPAOC,0
DIPAPGP,0
DIPAPR,0
DIPAPSF,0
DIPARPD,0
DIPART,0
DIPAVDGP,0
DIPBI,0
DIPBIM,0
DIPBRMA,0
DIPCAIS,0
DIPCCOA,0
DIPCDA,0
DIPCDGE,0
DIPCF,0
DIPCGAE,0
DIPCGE,0
DIPCOM,0
DIPCOR,0
DIPCP,0
DIPCPCVM,0
DIPCPLO,0
DIPCRD,0
DIPCSA,0
DIPCSE,0
DIPCUI,0
DIPCYC,0
DIPDAP,0
DIPDCBC,0
DIPDCOS,0
DIPDCPIG,0
DIPDCSU,0
DIPDE,0
DIPDEL,0
DIPDELES,0
DIPDHG,0
DIPDIES,0
DIPDM,0
DIPDMA,0
DIPDMI,0
DIPDSPMT,0
DIPDU,0
DIPDUA,0
DIPEACT,0
DIPEAI,0
DIPEAV,0
DIPECC,0
DIPEDEP,0
DIPEDII,0
DIPEDSC,0
DIPEEC,0
DIPEEOP,0
DIPEEP,0
DIPEESCL,0
DIPEESP,0
DIPEFF,0
DIPEFI,0
DIPEG,0
DIPEGA,0
DIPEGAM,0
DIPEGBO,0
DIPEGC,0
DIPEGCO,0
DIPEGDO,0
DIPEGEES,0
DIPEGES,0
DIPEGM,0
DIPEGMU,0
DIPEGR,0
DIPEHID,0
DIPEIL,0
DIPELE,0
DIPEN,0
DIPENAF,0
DIPEOGM,0
DIPEPA,0
DIPEPPM,0
DIPEPR,0
DIPERGE,0
DIPERNC,0
DIPESES,0
DIPESM,0
DIPESSO,0
DIPETPM,0
DIPETREDU,0
DIPEVMEU,0
DIPEYDS,0
DIPEYFE,0
DIPFCC,0
DIPFCD,0
DIPFCDP,0
DIPFCMF,0
DIPFGVB,0
DIPFPGBP,0
DIPFPIT,0
DIPFPPS,0
DIPFTO,0
DIPGA,0
DIPGAPL,0
DIPGCAC,0
DIPGCAS,0
DIPGCC,0
DIPGCOIF,0
DIPGCT,0
DIPGEO,0
DIPGES,0
DIPGF,0
DIPGFIN,0
DIPGFM,0
DIPGGR,0
DIPGIN,0
DIPGIT,0
DIPGLGM,0
DIPGLI,0
DIPGLPD,0
DIPGMDIA,0
DIPGPIS,0
DIPGPMCO,0
DIPGR,0
DIPGRDO,0
DIPGRFPD,0
DIPGRH,0
DIPGSA,0
DIPGSPP,0
DIPGSSO,0
DIPGT,0
DIPGTEM,0
DIPGYDP,0
DIPGYDPSP,0
DIPIBEI,0
DIPICMH,0
DIPIDM,0
DIPIEA,0
DIPIEDF,0
DIPIEIP,0
DIPIEYE,0
DIPIGGS,0
DIPIGPPD,0
DIPILSC,0
DIPIMF,0
DIPIMGC,0
DIPIMPL,0
DIPINAE,0
DIPIRIA,0
DIPISGD,0
DIPITSO,0
DIPLES,0
DIPLI,0
DIPLIEA,0
DIPLIEAL,0
DIPLIEO,0
DIPLIJ,0
DIPLTSH,0
DIPMAD,0
DIPMCOM,0
DIPMD,0
DIPMDIA,0
DIPMDYS,0
DIPMEAP,0
DIPMGCS,0
DIPMICC,0
DIPMIG,0
DIPMINE,0
DIPMME,0
DIPNAH,0
DIPNCSE,0
DIPNICI,0
DIPNICP,0
DIPNSCI,0
DIPOSEP,0
DIPOTRC,0
DIPPCCD,0
DIPPD,0
DIPPDT,0
DIPPED,0
DIPPEGARD,0
DIPPGG,0
DIPPGT,0
DIPPIC,0
DIPPINF,0
DIPPM,0
DIPPPAG,0
DIPPPUB,0
DIPPRSEP,0
DIPPSEI,0
DIPPTAD,0
DIPPTG,0
DIPRH,0
DIPRHDO,0
DIPRMEE,0
DIPROCN,0
DIPRSF,0
DIPSIGIP,0
DIPSMPM,0
DIPSPL,0
DIPSSREE,0
DIPTI,0
DIPTMEH,0
DIPVGRS,0
DOCAYH,0
DOCBIO,0
DOCCSADM,0
DOCCSALIM,0
DOCCSEDUC,0
DOCCSFIS,0
DOCCSING,0
DOCCSMAT,0
DOCESTAM,0
DOCHIST,0
DOCITI,0
DOCMICROBIO,0
DOCNEUROC,0
DOCPSIC,0
DOCQUIM,0
ENF,1
GDP,0
HCS,0
ICAMB,0
ICBIO,0
ICBIOM,0
ICELEC,1
ICETE,0
ICGEOG,0
ICGEOM,0
ICIND,2
ICINF,1
ICMEC,1
ICMECAT,0
ICMET,1
ICMIN,1
ICOBR,1
ICQUIM,1
ICTEL,0
IEAMB,0
IECLIM,0
IEELEC,1
IEESTRUC,0
IEGEOM,0
IEIND,1
IEINF,1
IEMEC,1
IEMET,0
IEMIN,1
IEQUIM,1
INGAGRO,0
INGAL,0
INGAMB,0
INGBIO,0
INGCO,2
INGEST,0
INGFI,1
INGMA,0
INGOBR,0
KINE,1
LAT,1
LCC,0
LEB,1
LEE,1
LEI,0
LEM,0
LICAF,0
LICAFENDEP,0
LICAFTERAP,0
LOG,0
LQC,0
MAGADE,0
MAGAP,0
MAGARH,0
MAGAS,0
MAGCA,0
MAGCAG,0
MAGCC,0
MAGCDAGPP,0
MAGCDI,0
MAGCE,0
MAGCIME,0
MAGCM,0
MAGCS,0
MAGCSF,0
MAGEDM,0
MAGEDU,0
MAGEF,0
MAGEI,0
MAGEII,0
MAGEPA,0
MAGFC,0
MAGFIN,0
MAGFP,0
MAGGEO,0
MAGGP,0
MAGGT,0
MAGHE,0
MAGHI,0
MAGIE,0
MAGII,0
MAGIT,0
MAGLG,0
MAGLI,0
MAGMA,0
MAGMARK,0
MAGPC,0
MAGPE,0
MAGPED,0
MAGPGT,0
MAGPP,0
MAGPS,0
MAGQUI,0
MAGSGI,0
MAGSP,0
MAGSPA,0
MAGTA,0
MAGTCO,0
MED,1
MIDA,0
OBP,1
PEDCAST,1
PEDEDFIS,0
