anio,carrera,sexo,via_ingreso,matriculas
2018,ADMPUB,F,ALUMNO VISITANTE POR RESOLUCIÓN,33
2018,ADMPUB,F,CONTINUIDAD BACHILLER,14
2018,ADMPUB,F,CUPO BEA,8
2018,ADMPUB,F,CUPO DEPORTISTA DESTACADO,1
2018,ADMPUB,F,CUPO HIJO DE FUNCIONARIO,1
2018,ADMPUB,F,CUPO PACE,11
2018,ADMPUB,F,CUPO P.S.U.,397
2018,ADMPUB,F,INGRESO ESPECIAL VESPERTINO,25
2018,ADMPUB,F,P.A.A. (REINSC/REPOST),3
2018,ADMPUB,F,PROSECUCION ESTUDIOS,17
2018,ADMPUB,F,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,ADMPUB,M,ALUMNO VISITANTE POR RESOLUCIÓN,24
2018,ADMPUB,M,CONTINUIDAD BACHILLER,5
2018,ADMPUB,M,CUPO BEA,5
2018,ADMPUB,M,CUPO DEPORTISTA DESTACADO,1
2018,ADMPUB,M,CUPO OFICIO DEMRE,3
2018,ADMPUB,M,CUPO PACE,3
2018,ADMPUB,M,CUPO P.S.U.,263
2018,ADMPUB,M,CUPO PUEBLOS INDIGENAS,1
2018,ADMPUB,M,INGRESO ESPECIAL VESPERTINO,17
2018,ADMPUB,M,P.A.A.,1
2018,ADMPUB,M,P.A.A. (REINSC/REPOST),2
2018,ADMPUB,M,PROSECUCION ESTUDIOS,14
2018,ADMPUB,M,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,ARQ,F,ALUMNO VISITANTE,1
2018,ARQ,F,ALUMNO VISITANTE POR RESOLUCIÓN,14
2018,ARQ,F,CONTINUIDAD BACHILLER,14
2018,ARQ,F,CUPO BEA,14
2018,ARQ,F,CUPO DEPORTISTA DESTACADO,1
2018,ARQ,F,CUPO HIJO DE FUNCIONARIO,1
2018,ARQ,F,CUPO PACE,7
2018,ARQ,F,CUPO PERSONAS EN SITUACIÓN DE DISCAPACIDAD,1
2018,ARQ,F,CUPO P.S.U.,180
2018,ARQ,F,CUPO PUEBLOS INDIGENAS,2
2018,ARQ,F,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,2
2018,ARQ,F,INGRESO ESPECIAL VESPERTINO,1
2018,ARQ,F,P.A.A.,1
2018,ARQ,F,TRASLADO DESDE OTRA INSTITUCIÓN,5
2018,ARQ,M,ALUMNO VISITANTE POR RESOLUCIÓN,7
2018,ARQ,M,CONTINUIDAD BACHILLER,12
2018,ARQ,M,CUPO BEA,9
2018,ARQ,M,CUPO DEPORTISTA DESTACADO,3
2018,ARQ,M,CUPO OFICIO DEMRE,1
2018,ARQ,M,CUPO P.S.U.,144
2018,ARQ,M,CUPO PUEBLOS INDIGENAS,1
2018,ARQ,M,INGRESO CON CAMBIO DE FACULTAD,1
2018,ARQ,M,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,1
2018,ARQ,M,OTROS,1
2018,ARQ,M,PROSECUCION ESTUDIOS,1
2018,ARQ,M,REINCORPORADO,1
2018,ARQ,M,TRASLADO DESDE OTRA INSTITUCIÓN,5
2018,BACHI,F,CUPO BEA,4
2018,BACHI,F,CUPO HIJO DE FUNCIONARIO,1
2018,BACHI,F,CUPO PACE,16
2018,BACHI,F,CUPO PROPEDEUTICO - PROGRAMA GABRIELA MISTRAL,53
2018,BACHI,F,CUPO P.S.U.,175
2018,BACHI,F,CUPO PUEBLOS INDIGENAS,1
2018,BACHI,F,CUPO RANKING 850,33
2018,BACHI,M,CUPO BEA,3
2018,BACHI,M,CUPO DEPORTISTA DESTACADO,2
2018,BACHI,M,CUPO PACE,6
2018,BACHI,M,CUPO PROPEDEUTICO - PROGRAMA GABRIELA MISTRAL,42
2018,BACHI,M,CUPO P.S.U.,62
2018,BACHI,M,CUPO RANKING 850,19
2018,CCIV,F,INGRESO ESPECIAL VESPERTINO,66
2018,CCIV,F,OTROS,2
2018,CCIV,F,PROSECUCION ESTUDIOS,7
2018,CCIV,M,CAMBIO DE CARRERA,1
2018,CCIV,M,INGRESO ESPECIAL VESPERTINO,299
2018,CCIV,M,OTROS,17
2018,CCIV,M,PROSECUCION ESTUDIOS,34
2018,CONTA,F,ALUMNO VISITANTE POR RESOLUCIÓN,50
2018,CONTA,F,CAMBIO DE CARRERA POR VOCACIÓN,1
2018,CONTA,F,CONTINUIDAD BACHILLER,2
2018,CONTA,F,CUPO BEA,36
2018,CONTA,F,CUPO OFICIO DEMRE,1
2018,CONTA,F,CUPO PACE,22
2018,CONTA,F,CUPO P.S.U.,547
2018,CONTA,F,INGRESO ESPECIAL VESPERTINO,13
2018,CONTA,F,OTROS,2
2018,CONTA,F,P.A.A.,1
2018,CONTA,F,P.A.A. (REINSC/REPOST),1
2018,CONTA,F,PROSECUCION ESTUDIOS,10
2018,CONTA,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
